id,question,option1,option2,option3,option4,answer

381,Which type of ship carries unpackaged goods like coal and grain?,Container Ship,Tanker,Bulk Carrier,Ro-Ro,Bulk Carrier
382,What is the term for a ship specifically designed to carry cars and trucks?,Tanker,Ro-Ro (Roll-on/roll-off),Bulk Carrier,Ferry,Ro-Ro (Roll-on/roll-off)
383,Which European country is home to the major shipping company Hapag-Lloyd?,France,Germany,Italy,Spain,Germany
384,CMA CGM one of the world's largest shipping groups is headquartered where?,Germany,UK,France,Denmark,France
385,What does 'LCL' mean in ocean freight?,Large Container Load,Less than Container Load,Lost Container Liability,Long Cargo Line,Less than Container Load
386,Which major tech company was severely affected by semiconductor supply chain issues in 2021?,Netflix,Spotify,Apple,Meta,Apple
387,Which US company dominates rail freight in the western United States alongside BNSF?,Union Pacific,CSX,Norfolk Southern,Amtrak,Union Pacific
388,Warren Buffett's Berkshire Hathaway owns which major US freight railroad?,Union Pacific,CSX,BNSF Railway,Canadian National,BNSF Railway
389,What is the world's largest freight forwarder by revenue?,FedEx,Kuehne+Nagel,DHL,C.H. Robinson,Kuehne+Nagel
390,Which e-commerce giant operates 'Prime Air' cargo planes?,Walmart,Alibaba,Amazon,Shopify,Amazon
391,What is the length of the most commonly used large shipping container?,10 feet,20 feet,40 feet,50 feet,40 feet
392,What material are standard shipping containers made of?,Aluminum,Wood,Corrugated steel,Plastic,Corrugated steel
393,What does 'Ro-Ro' stand for in maritime shipping?,Roll-on/roll-off,Row-Row,Ride-on/ride-off,Run-on/run-off,Roll-on/roll-off
394,Which major software company provides massive ERP systems used to manage global supply chains?,Microsoft,Apple,SAP,Adobe,SAP
395,The term 'nearshoring' in supply chain refers to what?,Shipping by sea only,Moving production closer to the final consumer,Using local trucks,Ignoring global trade,Moving production closer to the final consumer
396,Which country is heavily benefiting from US companies 'nearshoring' away from China?,Canada,Mexico,Brazil,Argentina,Mexico
397,Who is the founder of FedEx?,Jeff Bezos,Elon Musk,Frederick W. Smith,Bill Gates,Frederick W. Smith
398,Which company created the first barcode scanning system for package tracking?,UPS,USPS,FedEx,DHL,FedEx
399,What is the primary fuel historically used by large ocean cargo ships?,Gasoline,Diesel,Bunker fuel (Heavy fuel oil),Solar power,Bunker fuel (Heavy fuel oil)
400,How much of the world's traded goods are carried over the ocean?,Around 20 percent,Around 50 percent,Around 60 percent,Over 80 percent,Over 80 percent